Year,Stage,Stage Length (KM),Name,Length (km),Grade (%),Distance into stage (km),Height (m),Categorization,Finish
2020,1,156,Cote de Rimez,5.8,2.5,48.5,310,3,
2020,2,186,Col de la Colmiane,16.3,6.3,63.5,1500,1,
2020,2,186,Col de Turini,14.9,7.4,99.5,1607,1,
2020,2,186,Col d'Eze,7.8,6.1,151,490,2,
2020,3,198,Col du Pilon,8.4,5.1,56,782,3,
2020,3,198,Col de la Faye,5.3,4.8,63.5,984,3,
2020,3,198,Col des Leues,6.9,5.4,117.5,1148,3,
2020,3,198,Col de l'Orme,2.7,5,152.5,734,4,
2020,4,160.5,Col du Festre,7.6,5.3,67.5,1441,3,
2020,4,160.5,Cote de Corps,2.2,6.3,97.5,927,4,
2020,4,160.5,Cote de l'Aullagnier,3,6.4,125.5,1172,3,
2020,4,160.5,Cote de Saint Leger-les-Melezes,2.8,6.8,141.5,1250,3,
2020,4,160.5,Orcires-Merlette,7.1,6.7,160.5,1825,1,Y
2020,5,183,Col de Serre Colon,4.1,3.7,130,434,4,
2020,5,183,Cote de Saint-Vincent-De-Barres,2.7,4.2,167,258,4,
2020,6,191,Cap de Coste,2.1,7.3,146,359,3,
2020,6,191,Col des Mourezes,6.1,4.8,163,537,3,
2020,6,191,Col de la Lusette,11.7,7.3,177.5,1351,1,
2020,7,168,Cote de Luzencon,3.1,6.1,9,562,3,
2020,7,168,Col de Peyronnenc,14.5,3.9,73.5,879,3,
2020,7,168,Cote de Paulhe,1.1,7,97.5,591,4,
2020,8,141,Col de Mente,6.9,8.1,59.5,1349,1,
2020,8,141,Port de Bales,11.7,7.7,104.5,1775,HC,
2020,8,141,Col de Peyresourde,9.7,7.8,129.5,1569,1,
2020,9,153,Cote d'Artiguelouve,2.3,4.5,9.5,273,4,
2020,9,153,Col de la Hourcere,11.1,8.8,69,1440,1,
2020,9,153,Col de Soudet,3.8,8.5,78,1540,3,
2020,9,153,Col d'Ichere,4.2,7,115.5,674,3,
2020,9,153,Col de Marie Blanque,7.7,8.6,135,1035,1,
2020,11,167.5,Cote de Cherveux,1.1,4.4,91,106,4,
2020,12,218,Cote de Saint-Martin-Terressus,1.5,8.8,104.5,393,4,
2020,12,218,Cote d'Eybouleuf,2.8,5.2,121.5,411,4,
2020,12,218,Cote de la Croix du Pey,4.8,6,177.5,817,3,
2020,12,218,Suc au May,3.8,7.7,192.5,903,2,
2020,13,191.5,Col de Ceyssat,10.2,6.1,36,1078,1,
2020,13,191.5,Col de Guery,7.8,5,63.5,1277,3,
2020,13,191.5,Montee de la Stele,6.8,5.7,85.5,1250,2,
2020,13,191.5,Cote de l'Estiade,3.7,6.9,130.5,769,3,
2020,13,191.5,Cote d'Anglards-de-Salers,3.5,6.9,157,803,3,
2020,13,191.5,Col de Nerrone,3.8,9.1,180.5,1242,2,
2020,13,191.5,Pas de Peyrol,5.4,8.1,191.5,1590,1,Y
2020,14,194,Cote du chateau d'Aulteribe,1,8.4,32,435,4,
2020,14,194,Col du Beal,10.2,5.6,68.5,1390,2,
2020,14,194,Cote de Curreau,4,5.7,93,1062,3,
2020,14,194,Cote de la Duchere,1.4,5.6,184.5,264,4,
2020,14,194,Cote de la Croix-Rousse,1.4,4.8,189.5,239,4,
2020,15,174.5,Montee de la Selle de Fromentel,11.1,8.1,111,1174,1,
2020,15,174.5,Col de la biche,6.9,8.9,129,1325,1,
2020,15,174.5,Grand Colombier,17.4,7.1,174.5,1501,HC,Y
2020,16,164,Cote de Virieu,2.3,6.8,12.5,562,4,
2020,16,164,Col de Porte,7.4,6.8,66.5,1326,2,
2020,16,164,Cote de Revel,6,8,94.5,752,2,
2020,16,164,Montee de Saint-Nizier-du_moucherotte,11.1,6.5,143.5,1169,1,
2020,16,164,Cote 2000,2.2,6.5,164,1152,2,Y
2020,17,170,Col de la madeleine,17.1,8.4,107.5,2000,HC,
2020,17,170,Col de la Loze,21.5,7.8,170,2304,HC,Y
2020,18,175,Cormet de Roseland,18.6,6.1,46,1968,1,
2020,18,175,Cote de la oute des Villes,3.2,6.6,67.5,1093,3,
2020,18,175,Col des Saisies,14.6,6.4,91,1650,2,
2020,18,175,Col des Aravis,6.7,7,117.5,1487,1,
2020,18,175,Montee du plateau des Glieres,6,11,143.5,1390,HC,
2020,19,166.5,Cote de Chateau-Chalon,4.3,4.7,82,466,4,
2020,20,36.2,La Planche Des Belle Filles,5.9,8.5,36.2,1035,1,Y
2020,21,122,Cote de Beulle,2.3,3.6,13.5,178,4,
